l_code,l_name,year,day,rm
780,奈良,2005,407,8
780,奈良,2006,405,8
780,奈良,2007,404,8
780,奈良,2008,403,8
780,奈良,2009,406,8
780,奈良,2010,402,8
780,奈良,2011,408,8
780,奈良,2012,409,8
780,奈良,2013,329,8
780,奈良,2014,401,8
780,奈良,2015,331,8
800,厳原,1996,407,9
800,厳原,1997,328,9
800,厳原,1998,402,9
800,厳原,1999,403,9
800,厳原,2000,402,9
800,厳原,2001,403,9
800,厳原,2002,324,9
800,厳原,2003,330,9
800,厳原,2004,402,9
800,厳原,2005,407,9
800,厳原,2006,330,9
800,厳原,2007,402,8
800,厳原,2008,402,8
800,厳原,2009,326,8
800,厳原,2010,-,-
800,厳原,2011,-,-
800,厳原,2012,-,-
800,厳原,2013,-,-
800,厳原,2014,-,-
800,厳原,2015,-,-
807,福岡,1996,401,8
807,福岡,1997,328,8
807,福岡,1998,403,8
807,福岡,1999,401,8
807,福岡,2000,402,8
807,福岡,2001,401,8
807,福岡,2002,325,8
807,福岡,2003,328,8
807,福岡,2004,330,8
807,福岡,2005,406,8
807,福岡,2006,403,8
807,福岡,2007,331,8
807,福岡,2008,402,8
807,福岡,2009,323,8
807,福岡,2010,325,8
807,福岡,2011,402,8
807,福岡,2012,401,8
807,福岡,2013,322,8
807,福岡,2014,327,8
807,福岡,2015,329,8
813,佐賀,1996,405,9
813,佐賀,1997,331,9
813,佐賀,1998,331,9
813,佐賀,1999,401,9
813,佐賀,2000,403,9
813,佐賀,2001,404,8
813,佐賀,2002,327,8
813,佐賀,2003,330,8
813,佐賀,2004,331,8
813,佐賀,2005,407,8
813,佐賀,2006,403,8
813,佐賀,2007,331,8
813,佐賀,2008,402,8
813,佐賀,2009,329,8
813,佐賀,2010,402,8
813,佐賀,2011,405,8
813,佐賀,2012,403,8
813,佐賀,2013,325,8
813,佐賀,2014,326,8
813,佐賀,2015,331,8
815,大分,1996,407,8
815,大分,1997,401,8
815,大分,1998,402,8
815,大分,1999,408,8
815,大分,2000,403,8
815,大分,2001,404,8
815,大分,2002,328,8
815,大分,2003,402,8
815,大分,2004,403,8
815,大分,2005,408,8
815,大分,2006,403,8
815,大分,2007,404,8
815,大分,2008,404,8
815,大分,2009,328,8
815,大分,2010,329,8
815,大分,2011,405,8
815,大分,2012,403,8
815,大分,2013,325,8
815,大分,2014,330,8
815,大分,2015,403,8
817,長崎,1996,406,8
817,長崎,1997,329,8
817,長崎,1998,404,8
817,長崎,1999,404,8
817,長崎,2000,402,8
817,長崎,2001,401,8
817,長崎,2002,329,8
817,長崎,2003,329,8
817,長崎,2004,402,8
817,長崎,2005,408,8
817,長崎,2006,403,8
817,長崎,2007,401,8
817,長崎,2008,406,8
817,長崎,2009,327,8
817,長崎,2010,331,8
817,長崎,2011,407,8
817,長崎,2012,402,8
817,長崎,2013,323,8
817,長崎,2014,327,8
817,長崎,2015,331,8
819,熊本,1996,331,8
819,熊本,1997,327,8
819,熊本,1998,401,8
819,熊本,1999,403,8
819,熊本,2000,403,8
819,熊本,2001,403,8
819,熊本,2002,329,8
819,熊本,2003,331,8
819,熊本,2004,402,8
819,熊本,2005,408,8
819,熊本,2006,331,8
819,熊本,2007,402,8
819,熊本,2008,401,8
819,熊本,2009,324,8
819,熊本,2010,326,8
819,熊本,2011,407,9
819,熊本,2012,402,9
819,熊本,2013,322,9
819,熊本,2014,327,9
819,熊本,2015,331,9
822,延岡,1996,-,-
822,延岡,1997,-,-
822,延岡,1998,-,-
822,延岡,1999,-,-
822,延岡,2000,-,-
822,延岡,2001,-,-
822,延岡,2002,-,-
822,延岡,2003,-,-
822,延岡,2004,-,-
822,延岡,2005,-,-
